id;name;description;price;product_size;image;image_content_type;product_category_id
1;whether;sharply;14583.38;M;../fake-data/blob/hipster.png;image/png;1
2;the;where excluding lazily;8096.07;L;../fake-data/blob/hipster.png;image/png;2
3;whenever frayed if;dirndl early;28389.91;XL;../fake-data/blob/hipster.png;image/png;3
4;times till finally;wherever;17071.19;XXL;../fake-data/blob/hipster.png;image/png;4
5;clip well-groomed into;teeter;19172.1;XL;../fake-data/blob/hipster.png;image/png;5
6;evenly;shadowy cheesecake;9513.46;M;../fake-data/blob/hipster.png;image/png;6
7;illustrate unused;psst beneath vastly;399.2;S;../fake-data/blob/hipster.png;image/png;7
8;an gosh for;ew;1655.37;M;../fake-data/blob/hipster.png;image/png;8
9;by leading;usually;14478.04;L;../fake-data/blob/hipster.png;image/png;9
10;publish before;sans;1855.14;XXL;../fake-data/blob/hipster.png;image/png;10
