id;placed_date;status;total_price;payment_method;payment_reference;customer_details_id
1;2024-06-27T04:06:49;COMPLETED;17970.04;IDEAL;distinction yet;1
2;2024-06-27T13:04:38;PAID;8981.41;CREDIT_CARD;nestmate;2
3;2024-06-27T10:56:13;PAID;6730.49;IDEAL;oof singer;2
4;2024-06-27T11:00:11;REFUNDED;15715.37;IDEAL;apprehension cover;2
5;2024-06-27T05:18:24;CANCELLED;30092.51;IDEAL;ah aha pertain;2
6;2024-06-26T18:00:58;PAID;15674.41;CREDIT_CARD;afore perturb atop;2
7;2024-06-26T22:21:09;PENDING;28882.7;IDEAL;lest rowing;1
8;2024-06-27T11:47:55;COMPLETED;27073.6;IDEAL;den yahoo;1
9;2024-06-27T08:30:46;REFUNDED;11146.64;CREDIT_CARD;into hm;2
10;2024-06-26T22:25:03;CANCELLED;27314.69;IDEAL;mmm but;1
